address,stETH,wstETH,total,label,type,protocol_type
0x0b925ed163218f6662a35e0f0371ac234f9e9371,0,1175818.271,1175818.271,🤖 Aave: awstETH Token [0x0b925e],Contract,AAVE
0x93c4b944d05dfe6df7645a86cd2206016c51564d,719675.0278,0,719675.0278,🤖 EigenLayer: stETH Strategy [0x93c4b9],Contract,Restaking
0x12b54025c112aa61face2cdb7118740875a566e9,0,696529.5598,696529.5598,🤖 Spark Protocol: wstETH_a Token [0x12b540],Contract,Leverage/Lending
0xc329400492c6ff2438472d4651ad17389fcb843a,0,431895.8884,431895.8884,Symbiotic: DefaultCollateral_Wrapped liquid staked Ether 2.0 (DC_wstETH),Contract,Restaking
0x98078db053902644191f93988341e31289e1c8fe,360813.3402,0,360813.3402,Blast: ETH Yield Manager,Contract,Vault
0x248ccbf4864221fc0e840f29bb042ad5bfc89b5c,0,248010.8051,248010.8051,🤖 MakerDAO: MCD JOIN WSTETH B [0x248ccb],Contract,Maker
0x9ffdf407cde9a93c47611799da23924af3ef764f,217641.5675,0,217641.5675,Ether.fi: Liquidfier,Contract,Restaking
0xfe08d40eee53d64936d3128838867c867602665c,131014.9498,0,131014.9498,AO protocol,Contract,Others 
0xc035a7cf15375ce2706766804551791ad035e0c2,0,124673.912,124673.912,AAVE: Aave Ethereum Lido wstETH (aEthLidowstETH),Contract ,AAVE
0x1982b2f5814301d4e9a8b0201555376e62f82428,115021.8616,0,115021.8616,🤖 Aave: aSTETH Token [0x1982b2],Contract,AAVE
0x176f3dab24a159341c0509bb36b833e7fdd0a132,106241.1558,0,106241.1558,Justin Sun [0x176f3d],Private,
0x3c22ec75ea5d745c78fc84762f7f1e6d82a2c5bf,18741.10062,84416.85318,103157.9538,@0x3c37_1d1e,Private,
0x0f25c1dc2a9922304f2eac71dca9b07e310e8e5a,0,99464.40021,99464.40021,🤖 Lido Finance: L1 ERC20 Token Gateway (Proxy) [0x0f25c1],Contract,Bridge
0x10cd5fbe1b404b7e19ef964b63939907bdaf42e2,0,71517.78146,71517.78146,🤖 MakerDAO: MCD JOIN WSTETH A [0x10cd5f],Contract,Maker
0x52aa899454998be5b000ad077a46bbe360f4e497,0,66309.74297,66309.74297,Fluid (Instadapp): FluidLiquidityProxy,Contract,Leverage/Lending
0x47176b2af9885dc6c4575d4efd63895f7aaa4790,64418.34594,0,64418.34594,MorpheusAI: L2TokenReceiver,Contract ,Bridge
0x18709e89bd403f470088abdacebe86cc60dda12e,60343.36144,0,60343.36144,🏦 Huobi: Hot Wallet [0x18709e],CEX,
0xee5b5b923ffce93a870b3104b7ca09c3db80047a,53077.80444,0,53077.80444,Bybit: Hot Wallet,CEX,
