address,stETH,wstETH,total,label,type,protocol_type
0x0b925ed163218f6662a35e0f0371ac234f9e9371,0,994724.6312,1167508.3,🤖 Aave: awstETH Token [0x0b925e],Contract,AAVE
0x93c4b944d05dfe6df7645a86cd2206016c51564d,910378.3406,0,910378.3406,🤖 EigenLayer: stETH Strategy [0x93c4b9],Contract,Leverage/Lending
0x12b54025c112aa61face2cdb7118740875a566e9,0,595092.5006,698460.068,🤖 Spark Protocol: wstETH_a Token [0x12b540],Contract,Leverage/Lending
0x98078db053902644191f93988341e31289e1c8fe,453283.8129,0,453283.8129,Private Transactions Miner [0x6b764a],Private,
0x248ccbf4864221fc0e840f29bb042ad5bfc89b5c,0,232955.5969,273419.9841,🤖 MakerDAO: MCD JOIN WSTETH B [0x248ccb],Contract,Maker
0xc329400492c6ff2438472d4651ad17389fcb843a,0,210603.2051,247184.9818,clonmel.eth [0x9d91ae],Private,
0x1982b2f5814301d4e9a8b0201555376e62f82428,191666.544,0,191666.544,🤖 Aave: aSTETH Token [0x1982b2],Contract,AAVE
0xfe08d40eee53d64936d3128838867c867602665c,183084.0226,0,183084.0226,🤖 Rari Capital: Pool 8 wstETH [0x7259ee],Contract,DEX
0x48d62ed012e327faacb9c8d2a56330e215da0575,0,105695.1373,124054.3826,EIP 1559 User [0x5a1f9d],Private,
0x3c22ec75ea5d745c78fc84762f7f1e6d82a2c5bf,9543.968864,80790.22584,104367.4569,pewpews.eth [0xa626bd],Private,
0x43594da5d6a03b2137a04df5685805c676def7cb,96252.51695,0,96252.51695,High Balance [0x8d249e],Private,
0x0f25c1dc2a9922304f2eac71dca9b07e310e8e5a,0,78420.96552,92042.68723,🤖 Lido Finance: L1 ERC20 Token Gateway (Proxy) [0x0f25c1],Contract,Bridge
0x4353e2df4e3444e97e20b2bda165bdd9a23913ab,69973.18415,17717.38362,90768.07731,🤖 Token Millionaire [0x4353e2],Contract,Other
0x10cd5fbe1b404b7e19ef964b63939907bdaf42e2,0,66612.48247,78183.07067,🤖 MakerDAO: MCD JOIN WSTETH A [0x10cd5f],Contract,Maker
0xb671e841a8e6db528358ed385983892552ef422f,72786.73511,0,72786.73511,🤖 Private Transactions Miner [0xb671e8],Contract,Other
0x4b4eec1ddc9420a5cc35a25f5899dc5993f9e586,71335.47261,0,71335.47261,thomasmccarthy.eth [0x9092a6],Private,
0x47176b2af9885dc6c4575d4efd63895f7aaa4790,69326.09743,0,69326.09743,ultraviol.eth [0x941064],Private,
0xf047ab4c75cebf0eb9ed34ae2c186f3611aeafa6,0,45406.07969,53293.11574,High Balance [0x113074],Private,
0x18709e89bd403f470088abdacebe86cc60dda12e,50330.82255,0,50330.82255,🏦 Huobi: Hot Wallet [0x18709e],CEX,
0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,0,39012.04881,45788.44169,Passive Uniswap V3 LP [0x84d76e],Private,
0x5313b39bf226ced2332c81eb97bb28c6fd50d1a3,0,39011.04002,45787.25767,Token Millionaire [0x5313b3],Private,
0xe53fff67f9f384d20ebea36f43b93dc49ed22753,45063.14818,0,45063.14818,Token Millionaire [0xe53fff],Private,
0x88ad09518695c6c3712ac10a214be5109a655671,10.19600782,34282.7367,40247.84407,Wormhole Network Exploiter: Wallet [0x629e7d],Private,
0x3e40d73eb977dc6a537af587d48316fee66e9c8c,39640.60579,0,39640.60579,🤖 Lido DAO: Treasury [0x3e40d7],Contract,DAO
0x804a7934bd8cd166d35d8fb5a1eb1035c8ee05ce,39097.56141,0,39097.56141,Heavy Dex Trader [0x0ad6f0],Private,
0x11dd5d87e5bce946b3bad36685901095e063f48e,0,33247.63,39022.74333,amyboudreau.eth [0x83866d],Private,
0x6663613fbd927ce78abbf7f5ca7e2c3fe0d96d18,38983.08202,0,38983.08202,MKR Voter [0xa8192f],Private,
0xa17581a9e3356d9a858b789d68b4d866e593ae94,0,32441.8057,38076.94734,ETH Millionaire [0x59a661],Private,
